target	name	zeroshot	blend0.60
M1	1-austin	0.7514	0.7907
M2	2-sarah	0.6368	0.8063
M3	3-eva	0.6865	0.7742
M4	4-mia	0.4982	0.6125
M5	5-lily	0.6031	0.7185
M6	6-sabrina	0.7153	0.8820
M7	7-autumn	0.4732	0.5606
M8	8-evie	0.6675	0.8258
M9	9-darshelle	0.7362	0.8263
M10	10-alina	0.7447	0.8742
M11	11-amanda	0.8128	0.9135
M12	12-anna	0.7174	0.7595
M13	13-hunny	0.6589	0.8045
M16	16-zoe	0.6505	0.7729
M17	17-dusha	0.6352	0.8578
M18	18-railey	0.6428	0.8009
M19	19-andreea	0.6825	0.7141
M20	20-salome	0.7251	0.9220
M21	21-alix	0.6822	0.7510
M22	22-alexis	0.6041	0.7869
M23	23-gianna	0.6970	0.7174
M24	24-valentina	0.7185	0.8399
M25	25-rae	0.7095	0.8174
M26	26-zdank	0.7215	0.9107
